entry_timestamp,exit_timestamp,symbol,interval,entry_price,exit_price,pnl
2025-08-25 22:54:00,2025-08-25 23:38:00,BTCUSDT,1m,110278.06,110067.69,-210.36999999999534
2025-08-26 00:02:00,2025-08-26 01:15:00,BTCUSDT,1m,109852.49,109399.43,-453.0600000000122
2025-08-26 02:24:00,2025-08-26 03:26:00,BTCUSDT,1m,109744.58,109887.04,142.45999999999185
2025-08-26 04:44:00,2025-08-26 05:44:00,BTCUSDT,1m,110025.01,110311.61,286.6000000000058
2025-08-26 05:59:00,2025-08-26 06:35:00,BTCUSDT,1m,110204.67,109993.55,-211.11999999999534
2025-08-26 08:28:00,2025-08-26 08:42:00,BTCUSDT,1m,110000.01,110131.99,131.98000000001048
2025-08-26 09:02:00,2025-08-26 09:16:00,BTCUSDT,1m,102812.77,110294.27,7481.5
2025-08-26 09:40:00,2025-08-26 10:10:00,BTCUSDT,1m,110140.94,110363.63,222.69000000000233
2025-08-26 10:52:00,2025-08-26 12:00:00,BTCUSDT,1m,110137.08,109859.99,-277.0899999999965
2025-08-26 12:12:00,2025-08-26 12:30:00,BTCUSDT,1m,109681.38,109743.21,61.830000000001746
2025-08-26 12:55:00,2025-08-26 14:03:00,BTCUSDT,1m,109989.99,110070.19,80.19999999999709
2025-08-26 15:17:00,2025-08-26 16:58:00,BTCUSDT,1m,110074.44,110076.91,2.470000000001164
2025-08-26 17:12:00,2025-08-26 17:52:00,BTCUSDT,1m,109803.75,109833.92,30.169999999998254
2025-08-26 18:57:00,2025-08-26 19:19:00,BTCUSDT,1m,110690.21,110902.05,211.8399999999965
2025-08-26 19:41:00,2025-08-26 19:57:00,BTCUSDT,1m,110907.87,111162.58,254.7100000000064
2025-08-26 20:47:00,2025-08-26 20:54:00,BTCUSDT,1m,111146.61,111343.91,197.3000000000029
2025-08-26 21:09:00,2025-08-26 21:28:00,BTCUSDT,1m,111228.47,111314.81,86.33999999999651
2025-08-26 00:20:00,2025-08-26 04:10:00,BTCUSDT,5m,109493.09,110174.61,681.5200000000041
2025-08-26 06:50:00,2025-08-26 12:40:00,BTCUSDT,5m,109950.59,110545.02,594.4300000000076
2025-08-26 15:40:00,2025-08-26 18:25:00,BTCUSDT,5m,109590.98,110476.56,885.5800000000017
2025-08-26 16:00:00,2025-08-26 19:15:00,BTCUSDT,15m,109500.01,111118.49,1618.4800000000105
2025-08-25 22:56:00,2025-08-25 23:40:00,ETHUSDT,1m,4391.5,4377.0,-14.5
2025-08-26 00:45:00,2025-08-26 01:27:00,ETHUSDT,1m,4327.92,4386.52,58.600000000000364
2025-08-26 02:23:00,2025-08-26 03:43:00,ETHUSDT,1m,4426.76,4407.39,-19.36999999999989
2025-08-26 05:23:00,2025-08-26 05:44:00,ETHUSDT,1m,4434.79,4442.84,8.050000000000182
2025-08-26 05:59:00,2025-08-26 07:34:00,ETHUSDT,1m,4430.5,4443.83,13.329999999999927
2025-08-26 07:54:00,2025-08-26 08:08:00,ETHUSDT,1m,4408.7,4434.84,26.140000000000327
2025-08-26 08:28:00,2025-08-26 08:45:00,ETHUSDT,1m,4410.47,4421.57,11.099999999999454
2025-08-26 09:40:00,2025-08-26 10:00:00,ETHUSDT,1m,4415.58,4425.99,10.409999999999854
2025-08-26 11:22:00,2025-08-26 12:22:00,ETHUSDT,1m,4420.59,4419.94,-0.6500000000005457
2025-08-26 13:01:00,2025-08-26 14:22:00,ETHUSDT,1m,4475.78,4502.22,26.44000000000051
2025-08-26 15:17:00,2025-08-26 16:49:00,ETHUSDT,1m,4539.44,4536.89,-2.5499999999992724
2025-08-26 17:04:00,2025-08-26 17:18:00,ETHUSDT,1m,2000.0,4547.98,2547.9799999999996
2025-08-26 17:37:00,2025-08-26 18:01:00,ETHUSDT,1m,4528.68,4533.44,4.759999999999309
2025-08-26 19:07:00,2025-08-26 19:19:00,ETHUSDT,1m,4529.61,4555.08,25.470000000000255
2025-08-26 20:37:00,2025-08-26 21:51:00,ETHUSDT,1m,4584.16,4598.69,14.529999999999745
2025-08-26 03:15:00,2025-08-26 04:10:00,ETHUSDT,5m,4393.75,4435.49,41.73999999999978
2025-08-26 07:20:00,2025-08-26 10:50:00,ETHUSDT,5m,4394.66,4436.76,42.100000000000364
2025-08-26 12:15:00,2025-08-26 12:35:00,ETHUSDT,5m,4413.76,4505.92,92.15999999999985
2025-08-26 16:10:00,2025-08-26 18:10:00,ETHUSDT,5m,4499.21,4535.22,36.01000000000022
